chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	18	4649
MN908947.3	324	727	SARS-CoV-2_2	570	4649
MN908947.3	644	1044	SARS-CoV-2_3	14	4649
MN908947.3	944	1362	SARS-CoV-2_4	285	4649
MN908947.3	1245	1650	SARS-CoV-2_5	441	4649
MN908947.3	1540	1948	SARS-CoV-2_6	779	4649
MN908947.3	1851	2250	SARS-CoV-2_7	285	4649
MN908947.3	2154	2571	SARS-CoV-2_8	599	4649
MN908947.3	2483	2885	SARS-CoV-2_9	54	4649
MN908947.3	2826	3210	SARS-CoV-2_10	37	4649
MN908947.3	3078	3492	SARS-CoV-2_11	30	4649
MN908947.3	3390	3794	SARS-CoV-2_12	32	4649
MN908947.3	3683	4093	SARS-CoV-2_13	119	4649
MN908947.3	3992	4409	SARS-CoV-2_14	70	4649
MN908947.3	4312	4710	SARS-CoV-2_15	291	4649
MN908947.3	4620	5017	SARS-CoV-2_16	237	4649
MN908947.3	4923	5331	SARS-CoV-2_17	52	4649
MN908947.3	5230	5643	SARS-CoV-2_18	380	4649
MN908947.3	5561	5957	SARS-CoV-2_19	1352	4649
MN908947.3	5867	6272	SARS-CoV-2_20	82	4649
MN908947.3	6184	6582	SARS-CoV-2_21	36	4649
MN908947.3	6478	6885	SARS-CoV-2_22	25	4649
MN908947.3	6747	7148	SARS-CoV-2_23	46	4649
MN908947.3	7057	7467	SARS-CoV-2_24	43	4649
MN908947.3	7381	7770	SARS-CoV-2_25	11	4649
MN908947.3	7672	8092	SARS-CoV-2_26	106	4649
MN908947.3	7997	8395	SARS-CoV-2_27	1249	4649
MN908947.3	8304	8714	SARS-CoV-2_28	128	4649
MN908947.3	8596	9013	SARS-CoV-2_29	132	4649
MN908947.3	8919	9329	SARS-CoV-2_30	66	4649
MN908947.3	9168	9564	SARS-CoV-2_31	126	4649
MN908947.3	9470	9866	SARS-CoV-2_32	241	4649
MN908947.3	9782	10176	SARS-CoV-2_33	169	4649
MN908947.3	10076	10491	SARS-CoV-2_34	19	4649
MN908947.3	10393	10810	SARS-CoV-2_35	11	4649
MN908947.3	10713	11116	SARS-CoV-2_36	24	4649
MN908947.3	11000	11414	SARS-CoV-2_37	37	4649
MN908947.3	11305	11720	SARS-CoV-2_38	352	4649
MN908947.3	11624	12033	SARS-CoV-2_39	191	4649
MN908947.3	11937	12339	SARS-CoV-2_40	96	4649
MN908947.3	12234	12643	SARS-CoV-2_41	887	4649
MN908947.3	12519	12920	SARS-CoV-2_42	1109	4649
MN908947.3	12831	13240	SARS-CoV-2_43	312	4649
MN908947.3	13124	13528	SARS-CoV-2_44	616	4649
MN908947.3	13463	13859	SARS-CoV-2_45	243	4649
MN908947.3	13752	14144	SARS-CoV-2_46	20	4649
