chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	69	4676
MN908947.3	324	727	SARS-CoV-2_2	3098	4676
MN908947.3	644	1044	SARS-CoV-2_3	2492	4676
MN908947.3	944	1362	SARS-CoV-2_4	11	4676
MN908947.3	1245	1650	SARS-CoV-2_5	816	4676
MN908947.3	1540	1948	SARS-CoV-2_6	2906	4676
MN908947.3	1851	2250	SARS-CoV-2_7	1092	4676
MN908947.3	2154	2571	SARS-CoV-2_8	2832	4676
MN908947.3	2483	2885	SARS-CoV-2_9	1669	4676
MN908947.3	2826	3210	SARS-CoV-2_10	0	4676
MN908947.3	3078	3492	SARS-CoV-2_11	0	4676
MN908947.3	3390	3794	SARS-CoV-2_12	1339	4676
MN908947.3	3683	4093	SARS-CoV-2_13	1709	4676
MN908947.3	3992	4409	SARS-CoV-2_14	339	4676
MN908947.3	4312	4710	SARS-CoV-2_15	576	4676
MN908947.3	4620	5017	SARS-CoV-2_16	1307	4676
MN908947.3	4923	5331	SARS-CoV-2_17	1554	4676
MN908947.3	5230	5643	SARS-CoV-2_18	2609	4676
MN908947.3	5561	5957	SARS-CoV-2_19	4640	4676
MN908947.3	5867	6272	SARS-CoV-2_20	108	4676
MN908947.3	6184	6582	SARS-CoV-2_21	64	4676
MN908947.3	6478	6885	SARS-CoV-2_22	70	4676
MN908947.3	6747	7148	SARS-CoV-2_23	0	4676
MN908947.3	7057	7467	SARS-CoV-2_24	150	4676
MN908947.3	7381	7770	SARS-CoV-2_25	1390	4676
MN908947.3	7672	8092	SARS-CoV-2_26	730	4676
MN908947.3	7997	8395	SARS-CoV-2_27	1476	4676
MN908947.3	8304	8714	SARS-CoV-2_28	68	4676
MN908947.3	8596	9013	SARS-CoV-2_29	8	4676
MN908947.3	8919	9329	SARS-CoV-2_30	0	4676
MN908947.3	9168	9564	SARS-CoV-2_31	409	4676
MN908947.3	9470	9866	SARS-CoV-2_32	441	4676
MN908947.3	9782	10176	SARS-CoV-2_33	87	4676
MN908947.3	10076	10491	SARS-CoV-2_34	0	4676
MN908947.3	10393	10810	SARS-CoV-2_35	1105	4676
MN908947.3	10713	11116	SARS-CoV-2_36	115	4676
