chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	1080	4581
MN908947.3	324	727	SARS-CoV-2_2	33684	4581
MN908947.3	644	1044	SARS-CoV-2_3	4044	4581
MN908947.3	944	1362	SARS-CoV-2_4	2284	4581
MN908947.3	1245	1650	SARS-CoV-2_5	3449	4581
MN908947.3	1540	1948	SARS-CoV-2_6	13668	4581
MN908947.3	1851	2250	SARS-CoV-2_7	3956	4581
MN908947.3	2154	2571	SARS-CoV-2_8	9060	4581
MN908947.3	2483	2885	SARS-CoV-2_9	2121	4581
MN908947.3	2826	3210	SARS-CoV-2_10	1485	4581
MN908947.3	3078	3492	SARS-CoV-2_11	1145	4581
MN908947.3	3390	3794	SARS-CoV-2_12	1846	4581
MN908947.3	3683	4093	SARS-CoV-2_13	1308	4581
MN908947.3	3992	4409	SARS-CoV-2_14	1413	4581
MN908947.3	4312	4710	SARS-CoV-2_15	4306	4581
MN908947.3	4620	5017	SARS-CoV-2_16	5365	4581
MN908947.3	4923	5331	SARS-CoV-2_17	6279	4581
MN908947.3	5230	5643	SARS-CoV-2_18	6305	4581
MN908947.3	5561	5957	SARS-CoV-2_19	19000	4581
MN908947.3	5867	6272	SARS-CoV-2_20	1270	4581
MN908947.3	6184	6582	SARS-CoV-2_21	760	4581
MN908947.3	6478	6885	SARS-CoV-2_22	993	4581
MN908947.3	6747	7148	SARS-CoV-2_23	1214	4581
MN908947.3	7057	7467	SARS-CoV-2_24	1126	4581
MN908947.3	7381	7770	SARS-CoV-2_25	2612	4581
MN908947.3	7672	8092	SARS-CoV-2_26	3680	4581
MN908947.3	7997	8395	SARS-CoV-2_27	15822	4581
MN908947.3	8304	8714	SARS-CoV-2_28	2982	4581
MN908947.3	8596	9013	SARS-CoV-2_29	5213	4581
MN908947.3	8919	9329	SARS-CoV-2_30	3757	4581
MN908947.3	9168	9564	SARS-CoV-2_31	2289	4581
MN908947.3	9470	9866	SARS-CoV-2_32	4216	4581
MN908947.3	9782	10176	SARS-CoV-2_33	1494	4581
MN908947.3	10076	10491	SARS-CoV-2_34	1142	4581
MN908947.3	10393	10810	SARS-CoV-2_35	1874	4581
MN908947.3	10713	11116	SARS-CoV-2_36	1274	4581
MN908947.3	11000	11414	SARS-CoV-2_37	1619	4581
MN908947.3	11305	11720	SARS-CoV-2_38	5591	4581
MN908947.3	11624	12033	SARS-CoV-2_39	1691	4581
MN908947.3	11937	12339	SARS-CoV-2_40	1208	4581
MN908947.3	12234	12643	SARS-CoV-2_41	11677	4581
MN908947.3	12519	12920	SARS-CoV-2_42	9135	4581
MN908947.3	12831	13240	SARS-CoV-2_43	2587	4581
MN908947.3	13124	13528	SARS-CoV-2_44	7113	4581
MN908947.3	13463	13859	SARS-CoV-2_45	3266	4581
MN908947.3	13752	14144	SARS-CoV-2_46	2064	4581
MN908947.3	14045	14457	SARS-CoV-2_47	1623	4581
MN908947.3	14338	14743	SARS-CoV-2_48	1254	4581
MN908947.3	14647	15050	SARS-CoV-2_49	2260	4581
MN908947.3	14953	15358	SARS-CoV-2_50	2952	4581
MN908947.3	15214	15619	SARS-CoV-2_51	4365	4581
MN908947.3	15535	15941	SARS-CoV-2_52	1682	4581
MN908947.3	15855	16260	SARS-CoV-2_53	2765	4581
MN908947.3	16112	16508	SARS-CoV-2_54	5444	4581
MN908947.3	16386	16796	SARS-CoV-2_55	11862	4581
MN908947.3	16692	17105	SARS-CoV-2_56	12964	4581
MN908947.3	16986	17405	SARS-CoV-2_57	6380	4581
MN908947.3	17323	17711	SARS-CoV-2_58	5573	4581
MN908947.3	17615	18022	SARS-CoV-2_59	8807	4581
MN908947.3	17911	18328	SARS-CoV-2_60	4929	4581
MN908947.3	18244	18652	SARS-CoV-2_61	4534	4581
MN908947.3	18550	18961	SARS-CoV-2_62	1668	4581
MN908947.3	18869	19277	SARS-CoV-2_63	1432	4581
MN908947.3	19183	19586	SARS-CoV-2_64	794	4581
MN908947.3	19485	19901	SARS-CoV-2_65	1357	4581
MN908947.3	19810	20216	SARS-CoV-2_66	3709	4581
MN908947.3	20090	20497	SARS-CoV-2_67	2379	4581
MN908947.3	20377	20792	SARS-CoV-2_68	3664	4581
MN908947.3	20677	21080	SARS-CoV-2_69	1410	4581
MN908947.3	20988	21387	SARS-CoV-2_70	1521	4581
MN908947.3	21294	21700	SARS-CoV-2_71	5889	4581
MN908947.3	21532	21933	SARS-CoV-2_72	1105	4581
MN908947.3	21865	22274	SARS-CoV-2_73	818	4581
MN908947.3	22091	22503	SARS-CoV-2_74	677	4581
MN908947.3	22402	22805	SARS-CoV-2_75	517	4581
MN908947.3	22648	23057	SARS-CoV-2_76	888	4581
MN908947.3	22944	23351	SARS-CoV-2_77	2412	4581
MN908947.3	23219	23635	SARS-CoV-2_78	4467	4581
MN908947.3	23553	23955	SARS-CoV-2_79	5629	4581
MN908947.3	23853	24258	SARS-CoV-2_80	1585	4581
MN908947.3	24171	24567	SARS-CoV-2_81	2489	4581
MN908947.3	24426	24836	SARS-CoV-2_82	3152	4581
MN908947.3	24750	25150	SARS-CoV-2_83	875	4581
MN908947.3	25051	25461	SARS-CoV-2_84	710	4581
MN908947.3	25331	25740	SARS-CoV-2_85	1268	4581
MN908947.3	25645	26050	SARS-CoV-2_86	563	4581
MN908947.3	25951	26360	SARS-CoV-2_87	1017	4581
MN908947.3	26255	26661	SARS-CoV-2_88	1248	4581
MN908947.3	26564	26979	SARS-CoV-2_89	8244	4581
MN908947.3	26873	27283	SARS-CoV-2_90	1759	4581
MN908947.3	27152	27560	SARS-CoV-2_91	1383	4581
MN908947.3	27447	27855	SARS-CoV-2_92	1864	4581
MN908947.3	27700	28104	SARS-CoV-2_93	2516	4581
MN908947.3	27996	28416	SARS-CoV-2_94	7266	4581
MN908947.3	28190	28598	SARS-CoV-2_95	6560	4581
MN908947.3	28512	28914	SARS-CoV-2_96	7175	4581
MN908947.3	28827	29227	SARS-CoV-2_97	5860	4581
MN908947.3	29136	29534	SARS-CoV-2_98	1742	4581
MN908947.3	29452	29854	SARS-CoV-2_99	7598	4581
