chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	1	3165
MN908947.3	324	727	SARS-CoV-2_2	6255	3165
MN908947.3	644	1044	SARS-CoV-2_3	656	3165
MN908947.3	944	1362	SARS-CoV-2_4	652	3165
MN908947.3	1245	1650	SARS-CoV-2_5	41	3165
MN908947.3	1540	1948	SARS-CoV-2_6	48	3165
MN908947.3	1851	2250	SARS-CoV-2_7	107	3165
MN908947.3	2154	2571	SARS-CoV-2_8	3503	3165
MN908947.3	2483	2885	SARS-CoV-2_9	8	3165
MN908947.3	2826	3210	SARS-CoV-2_10	5	3165
MN908947.3	3078	3492	SARS-CoV-2_11	5	3165
MN908947.3	3390	3794	SARS-CoV-2_12	3	3165
MN908947.3	3683	4093	SARS-CoV-2_13	0	3165
MN908947.3	3992	4409	SARS-CoV-2_14	672	3165
MN908947.3	4312	4710	SARS-CoV-2_15	2	3165
MN908947.3	4620	5017	SARS-CoV-2_16	247	3165
MN908947.3	4923	5331	SARS-CoV-2_17	2	3165
MN908947.3	5230	5643	SARS-CoV-2_18	11557	3165
MN908947.3	5561	5957	SARS-CoV-2_19	91	3165
MN908947.3	5867	6272	SARS-CoV-2_20	0	3165
MN908947.3	6184	6582	SARS-CoV-2_21	0	3165
MN908947.3	6478	6885	SARS-CoV-2_22	0	3165
MN908947.3	6747	7148	SARS-CoV-2_23	0	3165
MN908947.3	7057	7467	SARS-CoV-2_24	0	3165
MN908947.3	7381	7770	SARS-CoV-2_25	11	3165
MN908947.3	7672	8092	SARS-CoV-2_26	4	3165
MN908947.3	7997	8395	SARS-CoV-2_27	1	3165
MN908947.3	8304	8714	SARS-CoV-2_28	0	3165
MN908947.3	8596	9013	SARS-CoV-2_29	0	3165
MN908947.3	8919	9329	SARS-CoV-2_30	0	3165
MN908947.3	9168	9564	SARS-CoV-2_31	0	3165
MN908947.3	9470	9866	SARS-CoV-2_32	24	3165
MN908947.3	9782	10176	SARS-CoV-2_33	101	3165
MN908947.3	10076	10491	SARS-CoV-2_34	27	3165
MN908947.3	10393	10810	SARS-CoV-2_35	0	3165
MN908947.3	10713	11116	SARS-CoV-2_36	0	3165
MN908947.3	11000	11414	SARS-CoV-2_37	0	3165
MN908947.3	11305	11720	SARS-CoV-2_38	47	3165
MN908947.3	11624	12033	SARS-CoV-2_39	21	3165
MN908947.3	11937	12339	SARS-CoV-2_40	29	3165
MN908947.3	12234	12643	SARS-CoV-2_41	2539	3165
MN908947.3	12519	12920	SARS-CoV-2_42	5	3165
MN908947.3	12831	13240	SARS-CoV-2_43	17	3165
MN908947.3	13124	13528	SARS-CoV-2_44	2909	3165
MN908947.3	13463	13859	SARS-CoV-2_45	8	3165
MN908947.3	13752	14144	SARS-CoV-2_46	4	3165
MN908947.3	14045	14457	SARS-CoV-2_47	0	3165
MN908947.3	14338	14743	SARS-CoV-2_48	0	3165
MN908947.3	14647	15050	SARS-CoV-2_49	4	3165
MN908947.3	14953	15358	SARS-CoV-2_50	28	3165
MN908947.3	15214	15619	SARS-CoV-2_51	18	3165
