chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	784	4658
MN908947.3	324	727	SARS-CoV-2_2	15477	4658
MN908947.3	644	1044	SARS-CoV-2_3	3430	4658
MN908947.3	944	1362	SARS-CoV-2_4	1673	4658
MN908947.3	1245	1650	SARS-CoV-2_5	2357	4658
MN908947.3	1540	1948	SARS-CoV-2_6	7576	4658
MN908947.3	1851	2250	SARS-CoV-2_7	3688	4658
MN908947.3	2154	2571	SARS-CoV-2_8	7038	4658
MN908947.3	2483	2885	SARS-CoV-2_9	2091	4658
MN908947.3	2826	3210	SARS-CoV-2_10	1076	4658
MN908947.3	3078	3492	SARS-CoV-2_11	814	4658
MN908947.3	3390	3794	SARS-CoV-2_12	1570	4658
MN908947.3	3683	4093	SARS-CoV-2_13	624	4658
MN908947.3	3992	4409	SARS-CoV-2_14	1474	4658
MN908947.3	4312	4710	SARS-CoV-2_15	3165	4658
MN908947.3	4620	5017	SARS-CoV-2_16	5081	4658
MN908947.3	4923	5331	SARS-CoV-2_17	4704	4658
MN908947.3	5230	5643	SARS-CoV-2_18	4904	4658
MN908947.3	5561	5957	SARS-CoV-2_19	14733	4658
MN908947.3	5867	6272	SARS-CoV-2_20	1246	4658
MN908947.3	6184	6582	SARS-CoV-2_21	227	4658
MN908947.3	6478	6885	SARS-CoV-2_22	431	4658
MN908947.3	6747	7148	SARS-CoV-2_23	796	4658
MN908947.3	7057	7467	SARS-CoV-2_24	1006	4658
MN908947.3	7381	7770	SARS-CoV-2_25	2078	4658
MN908947.3	7672	8092	SARS-CoV-2_26	2709	4658
MN908947.3	7997	8395	SARS-CoV-2_27	16267	4658
MN908947.3	8304	8714	SARS-CoV-2_28	2292	4658
MN908947.3	8596	9013	SARS-CoV-2_29	2291	4658
MN908947.3	8919	9329	SARS-CoV-2_30	2589	4658
MN908947.3	9168	9564	SARS-CoV-2_31	981	4658
MN908947.3	9470	9866	SARS-CoV-2_32	3385	4658
MN908947.3	9782	10176	SARS-CoV-2_33	2146	4658
MN908947.3	10076	10491	SARS-CoV-2_34	1352	4658
MN908947.3	10393	10810	SARS-CoV-2_35	1318	4658
MN908947.3	10713	11116	SARS-CoV-2_36	950	4658
MN908947.3	11000	11414	SARS-CoV-2_37	1809	4658
MN908947.3	11305	11720	SARS-CoV-2_38	7887	4658
MN908947.3	11624	12033	SARS-CoV-2_39	2018	4658
MN908947.3	11937	12339	SARS-CoV-2_40	1638	4658
MN908947.3	12234	12643	SARS-CoV-2_41	8319	4658
MN908947.3	12519	12920	SARS-CoV-2_42	6169	4658
MN908947.3	12831	13240	SARS-CoV-2_43	2849	4658
MN908947.3	13124	13528	SARS-CoV-2_44	6704	4658
MN908947.3	13463	13859	SARS-CoV-2_45	1481	4658
MN908947.3	13752	14144	SARS-CoV-2_46	1015	4658
MN908947.3	14045	14457	SARS-CoV-2_47	1205	4658
MN908947.3	14338	14743	SARS-CoV-2_48	1560	4658
MN908947.3	14647	15050	SARS-CoV-2_49	1667	4658
MN908947.3	14953	15358	SARS-CoV-2_50	2201	4658
MN908947.3	15214	15619	SARS-CoV-2_51	2948	4658
MN908947.3	15535	15941	SARS-CoV-2_52	1606	4658
MN908947.3	15855	16260	SARS-CoV-2_53	3739	4658
MN908947.3	16112	16508	SARS-CoV-2_54	4249	4658
MN908947.3	16386	16796	SARS-CoV-2_55	9795	4658
MN908947.3	16692	17105	SARS-CoV-2_56	10806	4658
MN908947.3	16986	17405	SARS-CoV-2_57	7541	4658
MN908947.3	17323	17711	SARS-CoV-2_58	7671	4658
MN908947.3	17615	18022	SARS-CoV-2_59	10955	4658
MN908947.3	17911	18328	SARS-CoV-2_60	4859	4658
MN908947.3	18244	18652	SARS-CoV-2_61	4844	4658
MN908947.3	18550	18961	SARS-CoV-2_62	1874	4658
MN908947.3	18869	19277	SARS-CoV-2_63	1509	4658
MN908947.3	19183	19586	SARS-CoV-2_64	1206	4658
MN908947.3	19485	19901	SARS-CoV-2_65	1558	4658
MN908947.3	19810	20216	SARS-CoV-2_66	5020	4658
MN908947.3	20090	20497	SARS-CoV-2_67	3029	4658
MN908947.3	20377	20792	SARS-CoV-2_68	5185	4658
MN908947.3	20677	21080	SARS-CoV-2_69	1461	4658
MN908947.3	20988	21387	SARS-CoV-2_70	2106	4658
MN908947.3	21294	21700	SARS-CoV-2_71	12140	4658
MN908947.3	21532	21933	SARS-CoV-2_72	1419	4658
MN908947.3	21865	22274	SARS-CoV-2_73	706	4658
MN908947.3	22091	22503	SARS-CoV-2_74	480	4658
MN908947.3	22402	22805	SARS-CoV-2_75	312	4658
MN908947.3	22648	23057	SARS-CoV-2_76	1073	4658
