chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	11	4538
MN908947.3	324	727	SARS-CoV-2_2	38006	4538
MN908947.3	644	1044	SARS-CoV-2_3	37	4538
MN908947.3	944	1362	SARS-CoV-2_4	475	4538
MN908947.3	1245	1650	SARS-CoV-2_5	376	4538
MN908947.3	1540	1948	SARS-CoV-2_6	2533	4538
MN908947.3	1851	2250	SARS-CoV-2_7	472	4538
MN908947.3	2154	2571	SARS-CoV-2_8	8	4538
MN908947.3	2483	2885	SARS-CoV-2_9	79	4538
MN908947.3	2826	3210	SARS-CoV-2_10	19	4538
MN908947.3	3078	3492	SARS-CoV-2_11	79	4538
MN908947.3	3390	3794	SARS-CoV-2_12	98	4538
MN908947.3	3683	4093	SARS-CoV-2_13	2	4538
MN908947.3	3992	4409	SARS-CoV-2_14	73	4538
MN908947.3	4312	4710	SARS-CoV-2_15	118	4538
MN908947.3	4620	5017	SARS-CoV-2_16	2151	4538
MN908947.3	4923	5331	SARS-CoV-2_17	37	4538
MN908947.3	5230	5643	SARS-CoV-2_18	787	4538
MN908947.3	5561	5957	SARS-CoV-2_19	6450	4538
MN908947.3	5867	6272	SARS-CoV-2_20	89	4538
MN908947.3	6184	6582	SARS-CoV-2_21	0	4538
MN908947.3	6478	6885	SARS-CoV-2_22	0	4538
MN908947.3	6747	7148	SARS-CoV-2_23	10	4538
MN908947.3	7057	7467	SARS-CoV-2_24	67	4538
MN908947.3	7381	7770	SARS-CoV-2_25	367	4538
MN908947.3	7672	8092	SARS-CoV-2_26	212	4538
MN908947.3	7997	8395	SARS-CoV-2_27	5	4538
MN908947.3	8304	8714	SARS-CoV-2_28	443	4538
MN908947.3	8596	9013	SARS-CoV-2_29	2	4538
MN908947.3	8919	9329	SARS-CoV-2_30	37	4538
MN908947.3	9168	9564	SARS-CoV-2_31	49	4538
MN908947.3	9470	9866	SARS-CoV-2_32	999	4538
MN908947.3	9782	10176	SARS-CoV-2_33	365	4538
MN908947.3	10076	10491	SARS-CoV-2_34	274	4538
MN908947.3	10393	10810	SARS-CoV-2_35	4	4538
MN908947.3	10713	11116	SARS-CoV-2_36	99	4538
MN908947.3	11000	11414	SARS-CoV-2_37	75	4538
MN908947.3	11305	11720	SARS-CoV-2_38	917	4538
MN908947.3	11624	12033	SARS-CoV-2_39	29	4538
MN908947.3	11937	12339	SARS-CoV-2_40	442	4538
MN908947.3	12234	12643	SARS-CoV-2_41	35	4538
MN908947.3	12519	12920	SARS-CoV-2_42	494	4538
MN908947.3	12831	13240	SARS-CoV-2_43	982	4538
MN908947.3	13124	13528	SARS-CoV-2_44	571	4538
MN908947.3	13463	13859	SARS-CoV-2_45	13	4538
MN908947.3	13752	14144	SARS-CoV-2_46	143	4538
MN908947.3	14045	14457	SARS-CoV-2_47	224	4538
MN908947.3	14338	14743	SARS-CoV-2_48	574	4538
MN908947.3	14647	15050	SARS-CoV-2_49	175	4538
MN908947.3	14953	15358	SARS-CoV-2_50	370	4538
MN908947.3	15214	15619	SARS-CoV-2_51	16	4538
MN908947.3	15535	15941	SARS-CoV-2_52	504	4538
MN908947.3	15855	16260	SARS-CoV-2_53	280	4538
MN908947.3	16112	16508	SARS-CoV-2_54	614	4538
MN908947.3	16386	16796	SARS-CoV-2_55	370	4538
MN908947.3	16692	17105	SARS-CoV-2_56	930	4538
MN908947.3	16986	17405	SARS-CoV-2_57	212	4538
MN908947.3	17323	17711	SARS-CoV-2_58	3141	4538
MN908947.3	17615	18022	SARS-CoV-2_59	117	4538
MN908947.3	17911	18328	SARS-CoV-2_60	3	4538
MN908947.3	18244	18652	SARS-CoV-2_61	113	4538
MN908947.3	18550	18961	SARS-CoV-2_62	899	4538
MN908947.3	18869	19277	SARS-CoV-2_63	81	4538
MN908947.3	19183	19586	SARS-CoV-2_64	33	4538
MN908947.3	19485	19901	SARS-CoV-2_65	67	4538
MN908947.3	19810	20216	SARS-CoV-2_66	175	4538
MN908947.3	20090	20497	SARS-CoV-2_67	80	4538
MN908947.3	20377	20792	SARS-CoV-2_68	64	4538
MN908947.3	20677	21080	SARS-CoV-2_69	548	4538
MN908947.3	20988	21387	SARS-CoV-2_70	393	4538
MN908947.3	21294	21700	SARS-CoV-2_71	31	4538
MN908947.3	21532	21933	SARS-CoV-2_72	435	4538
MN908947.3	21865	22274	SARS-CoV-2_73	12	4538
MN908947.3	22091	22503	SARS-CoV-2_74	21	4538
MN908947.3	22402	22805	SARS-CoV-2_75	19	4538
