chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	0	4693
MN908947.3	324	727	SARS-CoV-2_2	1355	4693
MN908947.3	644	1044	SARS-CoV-2_3	1583	4693
MN908947.3	944	1362	SARS-CoV-2_4	0	4693
MN908947.3	1245	1650	SARS-CoV-2_5	0	4693
MN908947.3	1540	1948	SARS-CoV-2_6	1004	4693
MN908947.3	1851	2250	SARS-CoV-2_7	44	4693
MN908947.3	2154	2571	SARS-CoV-2_8	148	4693
MN908947.3	2483	2885	SARS-CoV-2_9	3985	4693
MN908947.3	2826	3210	SARS-CoV-2_10	15	4693
MN908947.3	3078	3492	SARS-CoV-2_11	60	4693
MN908947.3	3390	3794	SARS-CoV-2_12	383	4693
MN908947.3	3683	4093	SARS-CoV-2_13	381	4693
MN908947.3	3992	4409	SARS-CoV-2_14	82	4693
MN908947.3	4312	4710	SARS-CoV-2_15	115	4693
MN908947.3	4620	5017	SARS-CoV-2_16	205	4693
MN908947.3	4923	5331	SARS-CoV-2_17	205	4693
MN908947.3	5230	5643	SARS-CoV-2_18	802	4693
MN908947.3	5561	5957	SARS-CoV-2_19	1875	4693
MN908947.3	5867	6272	SARS-CoV-2_20	0	4693
MN908947.3	6184	6582	SARS-CoV-2_21	0	4693
MN908947.3	6478	6885	SARS-CoV-2_22	0	4693
MN908947.3	6747	7148	SARS-CoV-2_23	0	4693
MN908947.3	7057	7467	SARS-CoV-2_24	0	4693
MN908947.3	7381	7770	SARS-CoV-2_25	3	4693
MN908947.3	7672	8092	SARS-CoV-2_26	3	4693
MN908947.3	7997	8395	SARS-CoV-2_27	4	4693
MN908947.3	8304	8714	SARS-CoV-2_28	0	4693
MN908947.3	8596	9013	SARS-CoV-2_29	163	4693
MN908947.3	8919	9329	SARS-CoV-2_30	0	4693
MN908947.3	9168	9564	SARS-CoV-2_31	0	4693
MN908947.3	9470	9866	SARS-CoV-2_32	0	4693
MN908947.3	9782	10176	SARS-CoV-2_33	135	4693
