chrom	start	end	region	coverage	sample
MN908947.3	25	431	SARS-CoV-2_1	142	4662
MN908947.3	324	727	SARS-CoV-2_2	7644	4662
MN908947.3	644	1044	SARS-CoV-2_3	614	4662
MN908947.3	944	1362	SARS-CoV-2_4	68	4662
MN908947.3	1245	1650	SARS-CoV-2_5	102	4662
MN908947.3	1540	1948	SARS-CoV-2_6	4336	4662
MN908947.3	1851	2250	SARS-CoV-2_7	1208	4662
MN908947.3	2154	2571	SARS-CoV-2_8	4345	4662
MN908947.3	2483	2885	SARS-CoV-2_9	569	4662
MN908947.3	2826	3210	SARS-CoV-2_10	276	4662
MN908947.3	3078	3492	SARS-CoV-2_11	162	4662
MN908947.3	3390	3794	SARS-CoV-2_12	666	4662
MN908947.3	3683	4093	SARS-CoV-2_13	457	4662
MN908947.3	3992	4409	SARS-CoV-2_14	887	4662
MN908947.3	4312	4710	SARS-CoV-2_15	1368	4662
MN908947.3	4620	5017	SARS-CoV-2_16	1137	4662
MN908947.3	4923	5331	SARS-CoV-2_17	915	4662
MN908947.3	5230	5643	SARS-CoV-2_18	2906	4662
MN908947.3	5561	5957	SARS-CoV-2_19	7638	4662
MN908947.3	5867	6272	SARS-CoV-2_20	588	4662
MN908947.3	6184	6582	SARS-CoV-2_21	65	4662
MN908947.3	6478	6885	SARS-CoV-2_22	24	4662
MN908947.3	6747	7148	SARS-CoV-2_23	244	4662
MN908947.3	7057	7467	SARS-CoV-2_24	268	4662
MN908947.3	7381	7770	SARS-CoV-2_25	617	4662
MN908947.3	7672	8092	SARS-CoV-2_26	606	4662
MN908947.3	7997	8395	SARS-CoV-2_27	9925	4662
MN908947.3	8304	8714	SARS-CoV-2_28	814	4662
MN908947.3	8596	9013	SARS-CoV-2_29	2682	4662
MN908947.3	8919	9329	SARS-CoV-2_30	1974	4662
MN908947.3	9168	9564	SARS-CoV-2_31	709	4662
MN908947.3	9470	9866	SARS-CoV-2_32	1585	4662
MN908947.3	9782	10176	SARS-CoV-2_33	458	4662
MN908947.3	10076	10491	SARS-CoV-2_34	292	4662
MN908947.3	10393	10810	SARS-CoV-2_35	955	4662
MN908947.3	10713	11116	SARS-CoV-2_36	328	4662
MN908947.3	11000	11414	SARS-CoV-2_37	363	4662
MN908947.3	11305	11720	SARS-CoV-2_38	2292	4662
MN908947.3	11624	12033	SARS-CoV-2_39	321	4662
MN908947.3	11937	12339	SARS-CoV-2_40	286	4662
MN908947.3	12234	12643	SARS-CoV-2_41	8451	4662
MN908947.3	12519	12920	SARS-CoV-2_42	3298	4662
MN908947.3	12831	13240	SARS-CoV-2_43	248	4662
MN908947.3	13124	13528	SARS-CoV-2_44	4102	4662
MN908947.3	13463	13859	SARS-CoV-2_45	1996	4662
MN908947.3	13752	14144	SARS-CoV-2_46	409	4662
MN908947.3	14045	14457	SARS-CoV-2_47	365	4662
MN908947.3	14338	14743	SARS-CoV-2_48	182	4662
MN908947.3	14647	15050	SARS-CoV-2_49	1454	4662
MN908947.3	14953	15358	SARS-CoV-2_50	1967	4662
MN908947.3	15214	15619	SARS-CoV-2_51	2170	4662
MN908947.3	15535	15941	SARS-CoV-2_52	336	4662
MN908947.3	15855	16260	SARS-CoV-2_53	695	4662
MN908947.3	16112	16508	SARS-CoV-2_54	1678	4662
MN908947.3	16386	16796	SARS-CoV-2_55	3224	4662
MN908947.3	16692	17105	SARS-CoV-2_56	8930	4662
MN908947.3	16986	17405	SARS-CoV-2_57	2666	4662
MN908947.3	17323	17711	SARS-CoV-2_58	2716	4662
MN908947.3	17615	18022	SARS-CoV-2_59	5001	4662
MN908947.3	17911	18328	SARS-CoV-2_60	2129	4662
MN908947.3	18244	18652	SARS-CoV-2_61	1529	4662
MN908947.3	18550	18961	SARS-CoV-2_62	918	4662
MN908947.3	18869	19277	SARS-CoV-2_63	494	4662
MN908947.3	19183	19586	SARS-CoV-2_64	929	4662
MN908947.3	19485	19901	SARS-CoV-2_65	969	4662
MN908947.3	19810	20216	SARS-CoV-2_66	2437	4662
MN908947.3	20090	20497	SARS-CoV-2_67	1202	4662
MN908947.3	20377	20792	SARS-CoV-2_68	1856	4662
MN908947.3	20677	21080	SARS-CoV-2_69	453	4662
MN908947.3	20988	21387	SARS-CoV-2_70	431	4662
MN908947.3	21294	21700	SARS-CoV-2_71	4026	4662
MN908947.3	21532	21933	SARS-CoV-2_72	67	4662
MN908947.3	21865	22274	SARS-CoV-2_73	243	4662
MN908947.3	22091	22503	SARS-CoV-2_74	202	4662
MN908947.3	22402	22805	SARS-CoV-2_75	22	4662
MN908947.3	22648	23057	SARS-CoV-2_76	392	4662
MN908947.3	22944	23351	SARS-CoV-2_77	1746	4662
MN908947.3	23219	23635	SARS-CoV-2_78	2946	4662
MN908947.3	23553	23955	SARS-CoV-2_79	6109	4662
MN908947.3	23853	24258	SARS-CoV-2_80	1012	4662
MN908947.3	24171	24567	SARS-CoV-2_81	1206	4662
MN908947.3	24426	24836	SARS-CoV-2_82	1500	4662
MN908947.3	24750	25150	SARS-CoV-2_83	180	4662
MN908947.3	25051	25461	SARS-CoV-2_84	367	4662
MN908947.3	25331	25740	SARS-CoV-2_85	342	4662
MN908947.3	25645	26050	SARS-CoV-2_86	81	4662
MN908947.3	25951	26360	SARS-CoV-2_87	252	4662
MN908947.3	26255	26661	SARS-CoV-2_88	306	4662
MN908947.3	26564	26979	SARS-CoV-2_89	4770	4662
MN908947.3	26873	27283	SARS-CoV-2_90	464	4662
MN908947.3	27152	27560	SARS-CoV-2_91	317	4662
MN908947.3	27447	27855	SARS-CoV-2_92	480	4662
MN908947.3	27700	28104	SARS-CoV-2_93	1094	4662
MN908947.3	27996	28416	SARS-CoV-2_94	4348	4662
MN908947.3	28190	28598	SARS-CoV-2_95	3492	4662
MN908947.3	28512	28914	SARS-CoV-2_96	1321	4662
MN908947.3	28827	29227	SARS-CoV-2_97	992	4662
MN908947.3	29136	29534	SARS-CoV-2_98	651	4662
MN908947.3	29452	29854	SARS-CoV-2_99	2601	4662
