D614G,4581/4645,4658,ON_PHL_21_44225,Omicron
1446.9690,412.03130,1029.4420,2929.1150,412.03130
1492.7600,711.23760,757.0023,3920.0310,711.23760
360.8805,265.11130,1076.7740,1174.1220,265.11130
21436.2300,6527.41500,3646.9730,14388.4900,6527.41500
2801.1200,1926.04000,1093.0160,25150.9100,1926.04000
1441.5450,1023.43700,1259.9220,60679.6100,1023.43700
1614.4660,1084.24600,1122.5860,4494.3820,1084.24600
212.0891,50.00000,606.0606,3181.6740,50.00000
1216.3970,424.44820,514.4033,1619.4330,424.44820
894.4544,248.32380,206.9108,780.6401,248.32380
