chrom	start	end	coverage	sample
MN908947.3	0	200	0	4542
MN908947.3	200	400	0	4542
MN908947.3	400	600	1.32	4542
MN908947.3	600	800	0.17	4542
MN908947.3	800	1000	0	4542
MN908947.3	1000	1200	2	4542
MN908947.3	1200	1400	1	4542
MN908947.3	1400	1600	3.66	4542
MN908947.3	1600	1800	20.64	4542
MN908947.3	1800	2000	9.6	4542
MN908947.3	2000	2200	14.61	4542
MN908947.3	2200	2400	0.28	4542
MN908947.3	2400	2600	0.68	4542
MN908947.3	2600	2800	1.56	4542
MN908947.3	2800	3000	4.92	4542
MN908947.3	3000	3200	5.66	4542
MN908947.3	3200	3400	2.21	4542
MN908947.3	3400	3600	4.44	4542
MN908947.3	3600	3800	3.66	4542
MN908947.3	3800	4000	0	4542
MN908947.3	4000	4200	3.26	4542
MN908947.3	4200	4400	0.75	4542
MN908947.3	4400	4600	0.65	4542
MN908947.3	4600	4800	18.81	4542
MN908947.3	4800	5000	21.46	4542
MN908947.3	5000	5200	0	4542
MN908947.3	5200	5400	10.77	4542
MN908947.3	5400	5600	11.26	4542
MN908947.3	5600	5800	4.46	4542
MN908947.3	5800	6000	0.61	4542
MN908947.3	6000	6200	0	4542
MN908947.3	6200	6400	0	4542
MN908947.3	6400	6600	0	4542
MN908947.3	6600	6800	0	4542
MN908947.3	6800	7000	0	4542
MN908947.3	7000	7200	0.92	4542
MN908947.3	7200	7400	0.52	4542
MN908947.3	7400	7600	0	4542
MN908947.3	7600	7800	1.21	4542
MN908947.3	7800	8000	6.26	4542
MN908947.3	8000	8200	0.92	4542
MN908947.3	8200	8400	1.16	4542
MN908947.3	8400	8600	4.76	4542
MN908947.3	8600	8800	1.02	4542
MN908947.3	8800	9000	0	4542
MN908947.3	9000	9200	0	4542
MN908947.3	9200	9400	0	4542
MN908947.3	9400	9600	4.6	4542
MN908947.3	9600	9800	5.43	4542
MN908947.3	9800	10000	1.55	4542
MN908947.3	10000	10200	3	4542
MN908947.3	10200	10400	3.38	4542
MN908947.3	10400	10600	0.74	4542
MN908947.3	10600	10800	0	4542
MN908947.3	10800	11000	0	4542
MN908947.3	11000	11200	0	4542
MN908947.3	11200	11400	14.65	4542
MN908947.3	11400	11600	45.98	4542
MN908947.3	11600	11800	9.13	4542
MN908947.3	11800	12000	4.14	4542
MN908947.3	12000	12200	27.14	4542
MN908947.3	12200	12400	14.14	4542
MN908947.3	12400	12600	3.79	4542
MN908947.3	12600	12800	30.5	4542
MN908947.3	12800	13000	18.31	4542
MN908947.3	13000	13200	22.43	4542
MN908947.3	13200	13400	6.57	4542
MN908947.3	13400	13600	4.38	4542
MN908947.3	13600	13800	0.15	4542
MN908947.3	13800	14000	2.5	4542
MN908947.3	14000	14200	3.27	4542
MN908947.3	14200	14400	2.52	4542
MN908947.3	14400	14600	7.58	4542
MN908947.3	14600	14800	5.67	4542
MN908947.3	14800	15000	0.12	4542
MN908947.3	15000	15200	5.4	4542
MN908947.3	15200	15400	3.64	4542
MN908947.3	15400	15600	0.76	4542
MN908947.3	15600	15800	8.97	4542
MN908947.3	15800	16000	1.89	4542
MN908947.3	16000	16200	5.5	4542
