chrom	start	end	coverage	sample
MN908947.3	0	200	8.5	4649
MN908947.3	200	400	201.96	4649
MN908947.3	400	600	658.04	4649
MN908947.3	600	800	315.48	4649
MN908947.3	800	1000	11.66	4649
MN908947.3	1000	1200	178.39	4649
MN908947.3	1200	1400	362.04	4649
MN908947.3	1400	1600	467.98	4649
MN908947.3	1600	1800	1025.51	4649
MN908947.3	1800	2000	337.62	4649
MN908947.3	2000	2200	389.96	4649
MN908947.3	2200	2400	794.32	4649
MN908947.3	2400	2600	306.21	4649
MN908947.3	2600	2800	91.46	4649
MN908947.3	2800	3000	42.89	4649
MN908947.3	3000	3200	37.98	4649
MN908947.3	3200	3400	25.89	4649
MN908947.3	3400	3600	22.46	4649
MN908947.3	3600	3800	118.98	4649
MN908947.3	3800	4000	89.69	4649
MN908947.3	4000	4200	60.58	4649
MN908947.3	4200	4400	73.38	4649
MN908947.3	4400	4600	295.15	4649
MN908947.3	4600	4800	274.35	4649
MN908947.3	4800	5000	200.48	4649
MN908947.3	5000	5200	35.15	4649
MN908947.3	5200	5400	87.33	4649
MN908947.3	5400	5600	908.72	4649
MN908947.3	5600	5800	1675.29	4649
MN908947.3	5800	6000	589.52	4649
MN908947.3	6000	6200	67.04	4649
MN908947.3	6200	6400	52.41	4649
MN908947.3	6400	6600	22.09	4649
MN908947.3	6600	6800	33.83	4649
MN908947.3	6800	7000	23.79	4649
MN908947.3	7000	7200	68.56	4649
MN908947.3	7200	7400	44.33	4649
MN908947.3	7400	7600	9.19	4649
MN908947.3	7600	7800	64.54	4649
MN908947.3	7800	8000	87.88	4649
MN908947.3	8000	8200	1062.38	4649
MN908947.3	8200	8400	724.63	4649
MN908947.3	8400	8600	142.66	4649
MN908947.3	8600	8800	119.44	4649
MN908947.3	8800	9000	161.13	4649
MN908947.3	9000	9200	53.01	4649
MN908947.3	9200	9400	68.09	4649
MN908947.3	9400	9600	200.39	4649
MN908947.3	9600	9800	347.53	4649
MN908947.3	9800	10000	423.66	4649
MN908947.3	10000	10200	100.54	4649
MN908947.3	10200	10400	17.8	4649
MN908947.3	10400	10600	13.11	4649
MN908947.3	10600	10800	10.54	4649
MN908947.3	10800	11000	28.64	4649
MN908947.3	11000	11200	27.94	4649
MN908947.3	11200	11400	271.95	4649
MN908947.3	11400	11600	372.35	4649
MN908947.3	11600	11800	294.69	4649
MN908947.3	11800	12000	175.44	4649
MN908947.3	12000	12200	74.85	4649
MN908947.3	12200	12400	398.39	4649
MN908947.3	12400	12600	1091.32	4649
MN908947.3	12600	12800	1181.8	4649
MN908947.3	12800	13000	245.76	4649
MN908947.3	13000	13200	451.9	4649
MN908947.3	13200	13400	669.48	4649
MN908947.3	13400	13600	242.4	4649
MN908947.3	13600	13800	183.77	4649
MN908947.3	13800	14000	17.1	4649
MN908947.3	14000	14200	35.78	4649
MN908947.3	14200	14400	36.23	4649
MN908947.3	14400	14600	65.09	4649
MN908947.3	14600	14800	63.7	4649
MN908947.3	14800	15000	120.31	4649
MN908947.3	15000	15200	116.17	4649
MN908947.3	15200	15400	37.28	4649
MN908947.3	15400	15600	45.58	4649
MN908947.3	15600	15800	130.18	4649
MN908947.3	15800	16000	64.41	4649
MN908947.3	16000	16200	88.69	4649
MN908947.3	16200	16400	441.16	4649
MN908947.3	16400	16600	848.63	4649
MN908947.3	16600	16800	841.06	4649
MN908947.3	16800	17000	797.93	4649
MN908947.3	17000	17200	563.2	4649
MN908947.3	17200	17400	775.51	4649
MN908947.3	17400	17600	543.56	4649
MN908947.3	17600	17800	1751.67	4649
MN908947.3	17800	18000	1327.99	4649
MN908947.3	18000	18200	562.18	4649
MN908947.3	18200	18400	687.78	4649
MN908947.3	18400	18600	434.11	4649
MN908947.3	18600	18800	95.04	4649
MN908947.3	18800	19000	70.09	4649
MN908947.3	19000	19200	67.6	4649
MN908947.3	19200	19400	268.72	4649
MN908947.3	19400	19600	531.28	4649
MN908947.3	19600	19800	165.28	4649
MN908947.3	19800	20000	282.67	4649
MN908947.3	20000	20200	150.57	4649
MN908947.3	20200	20400	145.66	4649
MN908947.3	20400	20600	840.04	4649
MN908947.3	20600	20800	586.76	4649
MN908947.3	20800	21000	76.19	4649
MN908947.3	21000	21200	181.07	4649
MN908947.3	21200	21400	454.83	4649
MN908947.3	21400	21600	773.36	4649
MN908947.3	21600	21800	140.11	4649
MN908947.3	21800	22000	37.55	4649
MN908947.3	22000	22200	28.18	4649
MN908947.3	22200	22400	16.29	4649
MN908947.3	22400	22600	13.87	4649
MN908947.3	22600	22800	12.71	4649
MN908947.3	22800	23000	21.88	4649
MN908947.3	23000	23200	21.97	4649
MN908947.3	23200	23400	69.3	4649
MN908947.3	23400	23600	557.97	4649
MN908947.3	23600	23800	357.81	4649
MN908947.3	23800	24000	51.62	4649
MN908947.3	24000	24200	287.96	4649
MN908947.3	24200	24400	528.67	4649
MN908947.3	24400	24600	238.14	4649
MN908947.3	24600	24800	364.81	4649
MN908947.3	24800	25000	193.66	4649
MN908947.3	25000	25200	19.27	4649
MN908947.3	25200	25400	15.16	4649
MN908947.3	25400	25600	74.26	4649
MN908947.3	25600	25800	63.08	4649
MN908947.3	25800	26000	6.54	4649
MN908947.3	26000	26200	134.82	4649
MN908947.3	26200	26400	160.2	4649
MN908947.3	26400	26600	269.43	4649
MN908947.3	26600	26800	951.63	4649
MN908947.3	26800	27000	1394.96	4649
MN908947.3	27000	27200	123.45	4649
MN908947.3	27200	27400	214.21	4649
MN908947.3	27400	27600	83.18	4649
MN908947.3	27600	27800	90.14	4649
MN908947.3	27800	28000	406.1	4649
MN908947.3	28000	28200	736.91	4649
MN908947.3	28200	28400	1081.26	4649
MN908947.3	28400	28600	542.87	4649
MN908947.3	28600	28800	365.21	4649
MN908947.3	28800	29000	460.87	4649
MN908947.3	29000	29200	238.26	4649
MN908947.3	29200	29400	133.84	4649
MN908947.3	29400	29600	678.43	4649
MN908947.3	29600	29800	1379.99	4649
MN908947.3	29800	29903	589.42	4649
