chrom	start	end	coverage	sample
MN908947.3	0	200	530.48	4645
MN908947.3	200	400	2571.76	4645
MN908947.3	400	600	10554.83	4645
MN908947.3	600	800	8418.65	4645
MN908947.3	800	1000	1527.76	4645
MN908947.3	1000	1200	1012.86	4645
MN908947.3	1200	1400	1268.7	4645
MN908947.3	1400	1600	2885.36	4645
MN908947.3	1600	1800	7457.23	4645
MN908947.3	1800	2000	3546.68	4645
MN908947.3	2000	2200	2464.92	4645
MN908947.3	2200	2400	4611.78	4645
MN908947.3	2400	2600	2166.62	4645
MN908947.3	2600	2800	1219.75	4645
MN908947.3	2800	3000	1036.92	4645
MN908947.3	3000	3200	934.42	4645
MN908947.3	3200	3400	934.72	4645
MN908947.3	3400	3600	948.75	4645
MN908947.3	3600	3800	1090.78	4645
MN908947.3	3800	4000	405.01	4645
MN908947.3	4000	4200	660.06	4645
MN908947.3	4200	4400	1046.71	4645
MN908947.3	4400	4600	2050.54	4645
MN908947.3	4600	4800	2528.37	4645
MN908947.3	4800	5000	3716.33	4645
MN908947.3	5000	5200	3250.74	4645
MN908947.3	5200	5400	1378.44	4645
MN908947.3	5400	5600	6157.5	4645
MN908947.3	5600	5800	9549.71	4645
MN908947.3	5800	6000	3743.81	4645
MN908947.3	6000	6200	839.84	4645
MN908947.3	6200	6400	515.87	4645
MN908947.3	6400	6600	441.81	4645
MN908947.3	6600	6800	842.44	4645
MN908947.3	6800	7000	796.23	4645
MN908947.3	7000	7200	801.49	4645
MN908947.3	7200	7400	696.63	4645
MN908947.3	7400	7600	1134.6	4645
MN908947.3	7600	7800	1478.04	4645
MN908947.3	7800	8000	1870.08	4645
MN908947.3	8000	8200	7319.11	4645
MN908947.3	8200	8400	4091.99	4645
MN908947.3	8400	8600	1603.83	4645
MN908947.3	8600	8800	1775.27	4645
MN908947.3	8800	9000	2774.39	4645
MN908947.3	9000	9200	1924.89	4645
MN908947.3	9200	9400	964.17	4645
MN908947.3	9400	9600	1551.68	4645
MN908947.3	9600	9800	2645.93	4645
MN908947.3	9800	10000	2618.6	4645
MN908947.3	10000	10200	828.52	4645
MN908947.3	10200	10400	902.1	4645
MN908947.3	10400	10600	1086.18	4645
MN908947.3	10600	10800	1121.89	4645
MN908947.3	10800	11000	813.15	4645
MN908947.3	11000	11200	907.91	4645
MN908947.3	11200	11400	2328.39	4645
MN908947.3	11400	11600	2539.2	4645
MN908947.3	11600	11800	1140.18	4645
MN908947.3	11800	12000	1066.71	4645
MN908947.3	12000	12200	806.96	4645
MN908947.3	12200	12400	3996.67	4645
MN908947.3	12400	12600	5042.32	4645
MN908947.3	12600	12800	4034.2	4645
MN908947.3	12800	13000	1514.82	4645
MN908947.3	13000	13200	2303.69	4645
MN908947.3	13200	13400	3458.72	4645
MN908947.3	13400	13600	1457.81	4645
MN908947.3	13600	13800	1422.06	4645
MN908947.3	13800	14000	1256.63	4645
MN908947.3	14000	14200	916.47	4645
MN908947.3	14200	14400	777.31	4645
MN908947.3	14400	14600	882.3	4645
MN908947.3	14600	14800	729.85	4645
MN908947.3	14800	15000	1266.74	4645
MN908947.3	15000	15200	1455.73	4645
MN908947.3	15200	15400	1667.29	4645
MN908947.3	15400	15600	1912.72	4645
MN908947.3	15600	15800	1206.94	4645
MN908947.3	15800	16000	1344.89	4645
MN908947.3	16000	16200	2042.23	4645
MN908947.3	16200	16400	2723.73	4645
MN908947.3	16400	16600	4530.11	4645
MN908947.3	16600	16800	8263.07	4645
MN908947.3	16800	17000	7513.36	4645
MN908947.3	17000	17200	3060.54	4645
MN908947.3	17200	17400	4331.61	4645
MN908947.3	17400	17600	2596.03	4645
MN908947.3	17600	17800	6589.9	4645
MN908947.3	17800	18000	6255.87	4645
MN908947.3	18000	18200	2399.22	4645
MN908947.3	18200	18400	4302.93	4645
MN908947.3	18400	18600	2633.55	4645
MN908947.3	18600	18800	1118.94	4645
MN908947.3	18800	19000	1186.01	4645
MN908947.3	19000	19200	1285.65	4645
MN908947.3	19200	19400	755.24	4645
MN908947.3	19400	19600	680.75	4645
MN908947.3	19600	19800	1251.38	4645
MN908947.3	19800	20000	2843.55	4645
MN908947.3	20000	20200	2219.88	4645
MN908947.3	20200	20400	1589.46	4645
MN908947.3	20400	20600	2874.15	4645
MN908947.3	20600	20800	1599.27	4645
MN908947.3	20800	21000	915.14	4645
MN908947.3	21000	21200	1393.96	4645
MN908947.3	21200	21400	2543.48	4645
MN908947.3	21400	21600	4636.31	4645
MN908947.3	21600	21800	1202.82	4645
MN908947.3	21800	22000	633.79	4645
MN908947.3	22000	22200	623.74	4645
MN908947.3	22200	22400	470	4645
MN908947.3	22400	22600	668.62	4645
MN908947.3	22600	22800	719.52	4645
MN908947.3	22800	23000	790.33	4645
MN908947.3	23000	23200	1663.01	4645
MN908947.3	23200	23400	1710.86	4645
MN908947.3	23400	23600	4766.37	4645
MN908947.3	23600	23800	4869.24	4645
MN908947.3	23800	24000	1417.09	4645
MN908947.3	24000	24200	1221.57	4645
MN908947.3	24200	24400	1757.28	4645
MN908947.3	24400	24600	1307.33	4645
MN908947.3	24600	24800	2156.95	4645
MN908947.3	24800	25000	1134.63	4645
MN908947.3	25000	25200	614.24	4645
MN908947.3	25200	25400	514.17	4645
MN908947.3	25400	25600	1088.5	4645
MN908947.3	25600	25800	926.93	4645
MN908947.3	25800	26000	450.56	4645
MN908947.3	26000	26200	810.29	4645
MN908947.3	26200	26400	811.06	4645
MN908947.3	26400	26600	941.06	4645
MN908947.3	26600	26800	2667.31	4645
MN908947.3	26800	27000	5747.97	4645
MN908947.3	27000	27200	874.7	4645
MN908947.3	27200	27400	1369.2	4645
MN908947.3	27400	27600	1205.69	4645
MN908947.3	27600	27800	1546.31	4645
MN908947.3	27800	28000	1523.99	4645
MN908947.3	28000	28200	3740.19	4645
MN908947.3	28200	28400	6964.26	4645
MN908947.3	28400	28600	3311.87	4645
MN908947.3	28600	28800	3828.03	4645
MN908947.3	28800	29000	5576.19	4645
MN908947.3	29000	29200	3436.96	4645
MN908947.3	29200	29400	1378.59	4645
MN908947.3	29400	29600	5470.48	4645
MN908947.3	29600	29800	8379.61	4645
MN908947.3	29800	29903	3389.76	4645
