chrom	start	end	coverage	sample
MN908947.3	0	200	0	3165
MN908947.3	200	400	286.01	3165
MN908947.3	400	600	5999.87	3165
MN908947.3	600	800	4182.69	3165
MN908947.3	800	1000	655.53	3165
MN908947.3	1000	1200	287.64	3165
MN908947.3	1200	1400	574.74	3165
MN908947.3	1400	1600	8.5	3165
MN908947.3	1600	1800	52.88	3165
MN908947.3	1800	2000	67.46	3165
MN908947.3	2000	2200	1036.81	3165
MN908947.3	2200	2400	3563.81	3165
MN908947.3	2400	2600	815.74	3165
MN908947.3	2600	2800	19.27	3165
MN908947.3	2800	3000	3.93	3165
MN908947.3	3000	3200	5.83	3165
MN908947.3	3200	3400	4.8	3165
MN908947.3	3400	3600	2.81	3165
MN908947.3	3600	3800	3.78	3165
MN908947.3	3800	4000	0	3165
MN908947.3	4000	4200	147.69	3165
MN908947.3	4200	4400	768.69	3165
MN908947.3	4400	4600	2.21	3165
MN908947.3	4600	4800	169.94	3165
MN908947.3	4800	5000	220.48	3165
MN908947.3	5000	5200	1.88	3165
MN908947.3	5200	5400	1223.63	3165
MN908947.3	5400	5600	12731.33	3165
MN908947.3	5600	5800	5049.07	3165
MN908947.3	5800	6000	71.56	3165
MN908947.3	6000	6200	0	3165
MN908947.3	6200	6400	0	3165
MN908947.3	6400	6600	0	3165
MN908947.3	6600	6800	0	3165
MN908947.3	6800	7000	1.19	3165
MN908947.3	7000	7200	0.31	3165
MN908947.3	7200	7400	0.07	3165
MN908947.3	7400	7600	10.01	3165
MN908947.3	7600	7800	8.78	3165
MN908947.3	7800	8000	3.13	3165
MN908947.3	8000	8200	2.62	3165
MN908947.3	8200	8400	0.03	3165
MN908947.3	8400	8600	0	3165
MN908947.3	8600	8800	0	3165
MN908947.3	8800	9000	0	3165
MN908947.3	9000	9200	0	3165
MN908947.3	9200	9400	0	3165
MN908947.3	9400	9600	11.48	3165
MN908947.3	9600	9800	21.05	3165
MN908947.3	9800	10000	120.81	3165
MN908947.3	10000	10200	36.97	3165
MN908947.3	10200	10400	43.66	3165
MN908947.3	10400	10600	0.86	3165
MN908947.3	10600	10800	0	3165
MN908947.3	10800	11000	0	3165
MN908947.3	11000	11200	1	3165
MN908947.3	11200	11400	9.3	3165
MN908947.3	11400	11600	52.08	3165
MN908947.3	11600	11800	48.6	3165
MN908947.3	11800	12000	5.33	3165
MN908947.3	12000	12200	46.14	3165
MN908947.3	12200	12400	3431.9	3165
MN908947.3	12400	12600	1068.35	3165
MN908947.3	12600	12800	6.24	3165
MN908947.3	12800	13000	7.22	3165
MN908947.3	13000	13200	943.43	3165
MN908947.3	13200	13400	2952.91	3165
MN908947.3	13400	13600	260.62	3165
MN908947.3	13600	13800	7.6	3165
MN908947.3	13800	14000	4.84	3165
MN908947.3	14000	14200	2.29	3165
MN908947.3	14200	14400	0	3165
MN908947.3	14400	14600	0	3165
MN908947.3	14600	14800	2.81	3165
MN908947.3	14800	15000	5.46	3165
MN908947.3	15000	15200	28.07	3165
MN908947.3	15200	15400	17.52	3165
MN908947.3	15400	15600	20.29	3165
MN908947.3	15600	15800	66.59	3165
MN908947.3	15800	16000	27.7	3165
MN908947.3	16000	16200	13.73	3165
MN908947.3	16200	16400	44.27	3165
MN908947.3	16400	16600	13.41	3165
