chrom	start	end	coverage	sample
MN908947.3	0	200	28.45	4676
MN908947.3	200	400	516.43	4676
MN908947.3	400	600	3201.33	4676
MN908947.3	600	800	2756.79	4676
MN908947.3	800	1000	2441.16	4676
MN908947.3	1000	1200	226.18	4676
MN908947.3	1200	1400	261.99	4676
MN908947.3	1400	1600	1681.88	4676
MN908947.3	1600	1800	3935.74	4676
MN908947.3	1800	2000	1810.37	4676
MN908947.3	2000	2200	1321.12	4676
MN908947.3	2200	2400	3422.95	4676
MN908947.3	2400	2600	460.13	4676
MN908947.3	2600	2800	1302.03	4676
MN908947.3	2800	3000	889.4	4676
MN908947.3	3000	3200	0	4676
MN908947.3	3200	3400	0	4676
MN908947.3	3400	3600	518.04	4676
MN908947.3	3600	3800	2658.23	4676
MN908947.3	3800	4000	1230.38	4676
MN908947.3	4000	4200	327.64	4676
MN908947.3	4200	4400	326.37	4676
MN908947.3	4400	4600	634.49	4676
MN908947.3	4600	4800	1123.25	4676
MN908947.3	4800	5000	1445.63	4676
MN908947.3	5000	5200	1277.05	4676
MN908947.3	5200	5400	388.76	4676
MN908947.3	5400	5600	2746.3	4676
MN908947.3	5600	5800	4639.8	4676
MN908947.3	5800	6000	3144.08	4676
MN908947.3	6000	6200	11.24	4676
MN908947.3	6200	6400	111.78	4676
MN908947.3	6400	6600	7.63	4676
MN908947.3	6600	6800	66.96	4676
MN908947.3	6800	7000	14.11	4676
MN908947.3	7000	7200	0	4676
MN908947.3	7200	7400	123.03	4676
MN908947.3	7400	7600	1377.31	4676
MN908947.3	7600	7800	938.63	4676
MN908947.3	7800	8000	835.64	4676
MN908947.3	8000	8200	1748.08	4676
MN908947.3	8200	8400	617.28	4676
MN908947.3	8400	8600	94.09	4676
MN908947.3	8600	8800	137.84	4676
MN908947.3	8800	9000	4.89	4676
MN908947.3	9000	9200	0	4676
MN908947.3	9200	9400	179.1	4676
MN908947.3	9400	9600	414.98	4676
MN908947.3	9600	9800	690.58	4676
MN908947.3	9800	10000	967.3	4676
MN908947.3	10000	10200	2.59	4676
MN908947.3	10200	10400	267.79	4676
MN908947.3	10400	10600	1146.07	4676
MN908947.3	10600	10800	1214.91	4676
MN908947.3	10800	11000	144.61	4676
MN908947.3	11000	11200	172.67	4676
MN908947.3	11200	11400	429.5	4676
MN908947.3	11400	11600	362.56	4676
MN908947.3	11600	11800	75.38	4676
MN908947.3	11800	12000	9.03	4676
MN908947.3	12000	12200	192.64	4676
MN908947.3	12200	12400	7727.08	4676
MN908947.3	12400	12600	4777.5	4676
MN908947.3	12600	12800	1662.45	4676
MN908947.3	12800	13000	418.04	4676
MN908947.3	13000	13200	1018.54	4676
MN908947.3	13200	13400	2162.74	4676
MN908947.3	13400	13600	505.07	4676
MN908947.3	13600	13800	2579.85	4676
MN908947.3	13800	14000	1345.47	4676
MN908947.3	14000	14200	298.32	4676
MN908947.3	14200	14400	11.39	4676
MN908947.3	14400	14600	8.51	4676
MN908947.3	14600	14800	39.32	4676
MN908947.3	14800	15000	160.34	4676
MN908947.3	15000	15200	146.09	4676
MN908947.3	15200	15400	34.94	4676
MN908947.3	15400	15600	32.52	4676
MN908947.3	15600	15800	17.42	4676
MN908947.3	15800	16000	267.35	4676
MN908947.3	16000	16200	68.77	4676
MN908947.3	16200	16400	885.53	4676
MN908947.3	16400	16600	3640.17	4676
MN908947.3	16600	16800	7032.07	4676
MN908947.3	16800	17000	6335.19	4676
MN908947.3	17000	17200	693.99	4676
MN908947.3	17200	17400	127.9	4676
MN908947.3	17400	17600	180.63	4676
MN908947.3	17600	17800	746.52	4676
MN908947.3	17800	18000	2093.8	4676
MN908947.3	18000	18200	753.08	4676
MN908947.3	18200	18400	564.59	4676
MN908947.3	18400	18600	348.74	4676
MN908947.3	18600	18800	33.89	4676
MN908947.3	18800	19000	50.15	4676
MN908947.3	19000	19200	88.84	4676
MN908947.3	19200	19400	0	4676
